Tweet_count,Username,Text,Created_At,Retweets,Likes
88,MuskAIBot,"Yo, it’s Kai Cenat! MuskAIBot’s got that fire—Solana speed, AI vibes, only 15M $MAIB. No pump-and-dump BS, just real gains with profit sharing. Hop in, hold tight, and let’s blow it up together! #MuskAIBot #kaicenat 
Dex: 
https://t.co/kFowQQDvnj https://t.co/4aAaNdK2xn",Sat Mar 08 05:42:32 +0000 2025,0,6
89,jordnjnes,"State Farm® and DC has officially released a new Batman-inspired commercial: featuring Kai Cenat, SZA, Kevin Miles, Jordan Howlett, and Jason 'Bateman'. https://t.co/OkMuKE7cDD",Wed Mar 12 09:36:49 +0000 2025,152,883
90,KwasiNawil,"KAI CENAT GOAL!!!! SPEED ASSIST!!!

SPEED WITH A GOAL AND TWO ASSISTS THIS AFTERNOON 🔥🔥🔥🔥",Sat Mar 08 16:46:01 +0000 2025,4,12
91,MUFC_Timm,"Kai Cenat searching up goal tutorials before the start of the match 😂😂
 https://t.co/VLLZmLadvJ",Wed Mar 12 06:23:13 +0000 2025,2,7
92,SlatDontMiss,Kai Cenat links up with Rakai in the Bronx &amp; reveals he brought a belt with him to make sure he’s doing his school work 😭😭 https://t.co/2X1uf5eT3J,Thu Mar 06 06:11:22 +0000 2025,882,31398
93,only_kdo_t,"“MUSTAAAARRRRDDD” moments 

A thread 🧵 
1.Lizzo screaming “MUSTARD” on Kai cenat’s livestream🙀 https://t.co/on2YjuMTei",Sat Mar 08 23:13:56 +0000 2025,158,1375
94,LunionSuite,"One Caribbean! 🇭🇹 🇹🇹 Haitians and Trinidadians, Kai Cenat's mom wants you to share her son equally—no drama. He loves all of us equally 🤭🤣

🎥 @Kai Cenat 
#lunionsuite #haitianamerican #haitian  #trinidadian #culture #caribbean https://t.co/0K95RDPam3",Wed Mar 05 21:05:39 +0000 2025,9,84
95,RMCFsmithayo7,kai cenat was running like anime characters during the match😭 https://t.co/R9x8X49Rg8,Mon Mar 10 06:22:07 +0000 2025,1,33
96,igetlotsofbread,idgaf about kai cenat corny ass. he farmed his viewers for 5.99 by having rappers on his stream..pretty much copied adin ross blueprint n did it for subathons 💀,Thu Mar 06 18:20:16 +0000 2025,0,3
97,scubaryan_,DDG defends Kai Cenat from haters on social media saying he “begs for subs” comparing Twitch Subscriptions to Netflix Subscriptions 👀 https://t.co/KUEp1ydX09,Mon Mar 03 03:05:43 +0000 2025,221,7124
98,skyeepl,Kai Cenat searching up goal tutorials before the start of the match 😂😂https://t.co/Nccdyj9qPi,Sat Mar 08 17:23:06 +0000 2025,225,6681
99,fuckdigitaldash,instagram be putting all kinda dumb shit in my face ion wanna get on THREADS &amp; ion wanna chat with a AI version of kai cenat pls gtfo,Tue Mar 04 22:09:43 +0000 2025,10,18
100,eddiediazie,they definitely broke up fuck that stupid basketball game rome flynn and kai cenat this is all your fault https://t.co/d2McPjuinI,Sat Mar 08 16:43:35 +0000 2025,23,900
101,PghSki17,this Kai Cenat dude is annoying as fuck,Thu Mar 06 15:35:33 +0000 2025,0,2
102,jaydenihateyou,I don’t turn on channel 9 news I turn on a Kai Cenat stream,Wed Mar 05 03:10:19 +0000 2025,0,5
103,seunisintrouble,Buying skincare from Kai cenat oh yall deserved that,Tue Mar 11 20:55:44 +0000 2025,2,7
104,JasonP1erre,Kai Cenat the voice of reason in 2025 https://t.co/VfTZiYkVPm,Thu Mar 06 16:22:23 +0000 2025,1,6
105,nando17celtics,@FearedBuck “Kai Cenat” on first take https://t.co/xjKkdVJBzi,Thu Mar 06 16:31:15 +0000 2025,3,384
106,jumbochiken,Breaking news Kai cenat is cheating in trials!!!! https://t.co/5T0Lw8oCRA,Sun Mar 09 06:14:47 +0000 2025,0,4
107,StreamersEra,People on TikTok are cooking Kai Cenat for putting both his hands on the table during First Take 😂😂 https://t.co/TGvh1qhc7U,Sun Mar 09 17:15:37 +0000 2025,1,25
108,ComplexPop,Kai Cenat &amp; Rakai hopped on Tylil’s TikTok to do the “Get Jiggy” trend. https://t.co/QpyOIr68iu,Thu Mar 06 14:12:00 +0000 2025,8,39
109,reckyutd,"Speed assist , Kai cenat goal https://t.co/3ej6xZmvoy",Sat Mar 08 16:48:05 +0000 2025,2,2
110,destroynectar,Kai Cenat was looking up tutorials on how to score a goal and Speed knew the team was cooked 💔😭https://t.co/xN3wfRGiZx,Sat Mar 08 13:57:43 +0000 2025,16,602
111,samham__,This assist from Speed to Kai Cenat was insane 😭🔥 https://t.co/GJp5yPsidV,Sat Mar 08 20:48:11 +0000 2025,0,22
112,StreamersEra,Kai Cenat &amp; Fanum at 15 years old vs Duke Dennis 😭 https://t.co/EkGeCS7lyP,Tue Mar 04 20:29:48 +0000 2025,5,277
113,Einthedarkness,Eli and Josh being on the same spot Kai Cenat was a few minutes before is making me think about life differently idk https://t.co/SpYA9RgfuR,Thu Mar 06 04:58:17 +0000 2025,3,72
114,RMCFsmithayo7,speed going unstoppable with an insane assist to kai cenat 🥶🔥🔥 https://t.co/FYzwRyPIMk,Mon Mar 10 06:24:19 +0000 2025,0,47
115,KaiCenatHQ,Never forget the moment Kai Cenat received a handmade Spiderman painting from a fan 🥹❤️ https://t.co/148x45vPCL,Wed Mar 05 10:36:25 +0000 2025,0,20
116,IAmTheHooper,POV: You’re Leandro Barbosa watching Kai Cenat on First Take #viral #reels #explorepage #kaicenat #firsttake #ESPN #leandrobarbosa https://t.co/WKSUtQLfJQ,Thu Mar 06 18:19:51 +0000 2025,4,17
117,ParnellMade,This is exactly why the nba isn’t taken seriously… why tf is KAI CENAT on first take,Thu Mar 06 18:49:23 +0000 2025,0,3
118,Brmantlks,"""Kai Cenat"" talking about hoops at 9 am in the morning on TV https://t.co/NBS1T8mynB",Thu Mar 06 21:35:38 +0000 2025,1,3
119,slowdrivin,seeing kai cenat on fallon then at the sidemen charity match feels so insane to me,Sat Mar 08 17:23:19 +0000 2025,0,3
120,fcbharrison,Kai Cenat running like anime characters 😭 https://t.co/jtp73nka3T,Sat Mar 08 15:59:12 +0000 2025,11,291
121,dme_363,"This Speed assist to Kai Cenat is legendary. 
#FootballWithDME https://t.co/1UqycyI2bN",Sun Mar 09 08:42:15 +0000 2025,3,14
